GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,55,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,20,72,0,0,6,18,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,38,38,4,4,8,11,3,5,0,4
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,37,49,0,0,0,1,1,8,1,8
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,45,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,2,76,1,5,1,18,1,16,0,14
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,4,66,0,6,2,18,0,6,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,28,117,0,4,10,26,1,10,1,8
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,42,0,2,0,12,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,111,1,3,0,31,1,4,0,3
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,19,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,SessionService,16,138,5,7,4,26,5,12,0,11
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
